gene_id,studyshield_score,permutation_count,empirical_p,bh_fdr
Solyc08g014010,0.6165654546488898,1000,0.017982017982017984,0.031485495636439036
Solyc10g085830,0.6165611589371779,1000,0.017982017982017984,0.031485495636439036
Solyc10g044510,-0.5911632886287318,1000,0.017982017982017984,0.031485495636439036
Solyc12g011410,-0.6011435148428772,1000,0.017982017982017984,0.031485495636439036
Solyc03g071570,-0.6112331670466781,1000,0.017982017982017984,0.031485495636439036
Solyc12g098340,-0.6165848630227525,1000,0.017982017982017984,0.031485495636439036
Solyc05g007770,0.6157351011349429,1000,0.01898101898101898,0.03237938532056179
Solyc12g013680,0.562693048514891,1000,0.01898101898101898,0.03237938532056179
Solyc12g008480,0.5421330523437927,1000,0.01898101898101898,0.03237938532056179
Solyc04g072850,-0.5992241855725565,1000,0.01898101898101898,0.03237938532056179
Solyc07g017600,-0.6121829244850295,1000,0.01898101898101898,0.03237938532056179
Solyc01g107890,-0.6151505949785664,1000,0.01898101898101898,0.03237938532056179
Solyc07g007750,-0.6192231515756372,1000,0.01898101898101898,0.03237938532056179
Solyc06g051800,0.6144120489667898,1000,0.01998001998001998,0.03299191911291555
Solyc01g108880,0.6115214424140568,1000,0.01998001998001998,0.03299191911291555
Solyc07g065290,0.611265211349237,1000,0.01998001998001998,0.03299191911291555
Solyc04g016200,-0.5756571333919296,1000,0.01998001998001998,0.03299191911291555
Solyc01g109500,-0.5798270525684449,1000,0.01998001998001998,0.03299191911291555
Solyc08g066360,-0.5880751455630439,1000,0.01998001998001998,0.03299191911291555
Solyc01g100930,-0.614010716595848,1000,0.01998001998001998,0.03299191911291555
Solyc02g078570,-0.6141570368224507,1000,0.01998001998001998,0.03299191911291555
Solyc06g065670,-0.6146780459649137,1000,0.01998001998001998,0.03299191911291555
