gene_id,protein_description,protein_log2_BR8_vs_MG,protein_measured,protein_de_log2_ratio,protein_de_p,protein_de_fdr,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,protein_differential_BR8_vs_MG,phosphosite_differential_BR8_vs_MG
Solyc01g108080,"BZIP transcription factor  IPR011616  bZIP transcription factor, bZIP-1",-0.298480639723035,True,,,,5.0,0.920137432545649,0.920137432545649,9.75137672610816e-07,Solyc01g108080.2.1_S58;Solyc01g108080.2.1_T126;Solyc01g108080.2.1_T143,False,True
Solyc01g108110,"Alpha 1 3 fucosyltransferase  IPR001503  Glycosyl transferase, family 10",-0.2354546400386243,True,,,,,,,,,False,False
Solyc01g108150,"Oxidoreductase zinc-binding dehydrogenase family protein  IPR002085  Alcohol dehydrogenase superfamily, zinc-containing",0.19703368321952283,True,,,,,,,,,False,False
Solyc01g108160,"Autophagy-related protein 2  IPR015412  ATG2, C-terminal",-0.05867473053345839,True,,,,1.0,0.7398067243863451,0.7398067243863451,5.00361669011973e-06,Solyc01g108160.2.1_S1457,False,True
Solyc01g108180,Pentatricopeptide repeat-containing protein  IPR002885  Pentatricopeptide repeat,-0.3173424098053046,True,,,,,,,,,False,False
Solyc01g108250,"Vacuolar import and degradation protein VID27  IPR013863  Vacuolar import and degradation, Vid27-related",0.18448661994862225,True,,,,4.0,0.964400850108961,0.964400850108961,6.34169998561836e-08,Solyc01g108250.2.1_S237;Solyc01g108250.2.1_S49;Solyc01g108250.2.1_S616,False,True
Solyc01g108260,TPbinding protein  IPR013926  Kinase binding protein CGI-121,-0.3694642937352926,True,,,,,,,,,False,False
Solyc01g108280,Serine_threonine protein kinase  IPR015740  Plant protein serine_threonine kinase-like,-0.22640266667516548,True,,,,,,,,,False,False
Solyc01g108290,SWIB_MDM2 domain containing protein  IPR019835  SWIB domain,-0.39267739584188527,True,,,,,,,,,False,False
Solyc01g108340,"Peptidyl-prolyl cis-trans isomerase D  IPR002130  Peptidyl-prolyl cis-trans isomerase, cyclophilin-type",-0.291297641788436,True,,,,,,,,,False,False
Solyc01g108430,"WW domain-binding protein 4  IPR013085  Zinc finger, U1-C type",-0.18116406278484587,True,,,,,,,,,False,False
Solyc01g108490,"Serine carboxypeptidase 1  IPR001563  Peptidase S10, serine carboxypeptidase",-1.298670563998814,True,-1.298825471540988,4.70834557761518e-13,7.31604466675591e-12,,,,,,True,False
Solyc01g108500,"Polyadenylate-binding protein  IPR012677  Nucleotide-binding, alpha-beta plait",-0.1739739072278418,True,,,,,,,,,False,False
Solyc01g108530,Acetyl esterase  IPR013094  Alpha_beta hydrolase fold-3,0.1433543588430729,True,,,,,,,,,False,False
Solyc01g108540,Acetyl esterase  IPR013094  Alpha_beta hydrolase fold-3,0.2312575450956836,True,,,,,,,,,False,False
Solyc01g108560,Acetyl esterase  IPR013094  Alpha_beta hydrolase fold-3,5.024580125465898,True,5.021572710307687,2.27679995356452e-13,3.91415821804284e-12,,,,,,True,False
Solyc01g108570,Gibberellin receptor GID1L2  IPR013094  Alpha_beta hydrolase fold-3,1.4956587726553616,True,1.4973436424434563,1.23584876734618e-11,1.10917693705147e-10,1.0,0.6676679899457184,0.6676679899457184,9.01580148001685e-06,Solyc01g108570.2.1_S305,True,True
Solyc01g108580,Gibberellin receptor GID1L2  IPR013094  Alpha_beta hydrolase fold-3,1.671752243589455,True,1.6718084804258604,1.68743143649748e-16,1.48493966411778e-14,,,,,,True,False
